original-id,name-tr,name-alt-tr,address-tr,country-tr,province-tr,district-tr,sub-district-tr,locality-tr,street-tr,street-side-tr,house,address-add-tr,landmark-tr,lon,lat,phone,url,rubric-id,working-time,actualization-date,rubric-keys,source-url,rubric-tr,chain-id
,ALAEDDİN YALÇIN   ( 07/013 ),,ANTALYA-BURDUR KARAYOLU ÜZERİ 54.KM NO:47/17 BADEMAĞACI KASABASI (PAFTA:-ADA:-PARSEL:2479) DÖŞEMEALTI/ ANTALYA,Türkiye,(07) Antalya,,,,,,,,,37.230407,2426625333,+90 (242) 6625333,http://www.bpet.com.tr/tr/bayilerimiz/658/alaeddin-yalcin,,,,,,,
,SS.36 NOLU DÖŞEMEALTI YENİKÖY KOOPERATİFİ   ( 07/009 ),,BIYIKLI KÖYÜ NO:7/2 DÖŞEMEALTI / ANTALYA,Türkiye,(07) Antalya,,,,,,,,,37.116909,2424123206,+90 (242) 4123205,http://www.bpet.com.tr/tr/bayilerimiz/59/ss36-nolu-dosemealti-yenikoy-kooperatifi,,,,,,,
,GENÇLER PETROL   ( 07/011 ),,DAĞBELİ BELDESİ/ ANTALYA,Türkiye,(07) Antalya,,,,,,,,,37.219848,2424382332,+90 (242) 4382332,http://www.bpet.com.tr/tr/bayilerimiz/653/gencler-petrol,,,,,,,
,CEYLAN PETROL   ( 07/006 ),,YEŞİLBAYIR BELDESİ ANTALYA-BURDUR KARAYOLU ÜZERİ 18.KM ANTALYA,Türkiye,(07) Antalya,,,,,,,,,37.018333,2424433031,+90 (242) 4433031,http://www.bpet.com.tr/tr/bayilerimiz/57/ceylan-petrol,,,,,,,
,AKAN PETROL   ( 07/002 ),,ALTINOVA MAH.SERİK CAD. ÜZERİ NO:10 ÇALKAYA BELDESİ ANTALYA,Türkiye,(07) Antalya,,,,,,,,,36.947222,2424263632,+90 (242) 4263031,http://www.bpet.com.tr/tr/bayilerimiz/54/akan-petrol,,,,,,,
,VOLKANPET PETROL   ( 05/009 ),,BUĞDAYLI MAHALLESİ YOLARASI MEVKİİ MERAY KAVŞAĞI NO: 15 05300 (PAFTA: 26.27.J.K ADA: 672 PARSEL: 31) MERZİFON/ AMASYA,Türkiye,(05) Amasya,,,,,,,,,40.863595,3244513301,+90 (324) 4513303,http://www.bpet.com.tr/tr/bayilerimiz/652/volkanpet-petrol,,,,,,,
,EMİN BAPUN   ( 05/007 ),,DEĞİRMENÇAY MEVKİİ MERKEZ MAH. NO: 53 (PAFTA: 20 ADA: 65 PARSEL: 35) GÖYNÜCEK/ AMASYA,Türkiye,(05) Amasya,,,,,,,,,40.397855,3625520517,+90 (362) 5520517,http://www.bpet.com.tr/tr/bayilerimiz/50/emin-bapun,,,,,,,
,YAVUZLAR PETROL   ( 05/002 ),,CUMARA MAH. İSTANBUL YOLU CADDESİ NO:13 GÜMÜŞHACIKÖY/AMASYA,Türkiye,(05) Amasya,,,,,,,,,40.880833,3587173387,+90 (358) 7171725,http://www.bpet.com.tr/tr/bayilerimiz/46/yavuzlar-petrol,,,,,,,
,TÜRKOĞLU PETROL    ( 06/025 ),,CUMHURİYET MAHALLESİ MAHALLESİ ANKARA BULVARI BULVARI NO:422 ( ADA:-  PAFTA:-  PARSEL:- ) ÇUBUK / ANKARA,Türkiye,(06) Ankara,,,,,,,,,40.183002,,+90 () ,http://www.bpet.com.tr/tr/bayilerimiz/742/turkoglu-petrol,,,,,,,
,YAKUP AKTAŞ   ( 06/019 ),,MODERİN MAH. SEMİZ CAD. NO: 62 EVREN/ ANKARA,Türkiye,(06) Ankara,,,,,,,,,39.025589,3823312014,+90 (382) 3312014,http://www.bpet.com.tr/tr/bayilerimiz/52/yakup-aktas,,,,,,,
,VOLKAN PETROL   ( 09/008 ),,ESKİÇİNE KÖYÜ TÜRKLERBELENİ MEVKİİ (PARSEL: 1030) ÇİNE/AYDIN,Türkiye,(09) Aydın,,,,,,,,,37.549418,2567242035,+90 (256) 7242033,http://www.bpet.com.tr/tr/bayilerimiz/61/volkan-petrol,,,,,,,
,ÖZ ÖZTOP AKARYAKIT   ( 06/018 ),,BEŞTEPELER MAH. KONYA DEVLET YOLU NO.78/A ANKARA,Türkiye,(06) Ankara,,,,,,,,,39.917777,3122240484,+90 (312) 2240474,http://www.bpet.com.tr/tr/bayilerimiz/51/oz-oztop-akaryakit,,,,,,,
,ÖZ GÜNEŞ AKARYAKIT   ( 12/006 ),,YEŞİLOVA MAHALLESİ ŞEHİT MEHMET TÜRKSEVER BULVARI (PAFTA:0 D 4 ADA:250 PARSEL:1) SOLHAN / BİNGÖL,Türkiye,(12) Bingöl,,,,,,,,,38.953827,,+90 () ,http://www.bpet.com.tr/tr/bayilerimiz/69/oz-gunes-akaryakit,,,,,,,
,TURHANLAR PETROL   ( 12/005 ),,SARAY MAH. ELAZIĞ-MUŞ YOLU ÜZERİ/ BİNGÖL,Türkiye,(12) Bingöl,,,,,,,,,38.897227,4262150077,+90 (426) 2131852,http://www.bpet.com.tr/tr/bayilerimiz/68/turhanlar-petrol,,,,,,,
,YAMANPET AKARYAKIT   ( 02/057 ),,ADIYAMAN GÖLBAŞI KARAYOLU 8. KM. YARMAKAYA KÖYÜ ( PARSEL:1709 ) MERKEZ/ ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.723611,4162232246,+90 (416) 2232146,http://www.bpet.com.tr/tr/bayilerimiz/17/yamanpet-akaryakit,,,,,,,
,MEHMET ÖZKAN   ( 02/056 ),,ŞAMBAYAT NAH.İNÖNÜ MAHALLESİ ATATÜRK BULVARI NO.159/4 (PARSEL:2566 ) BESNİ/ ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.683687,4162134105,+90 (416) 2134105,http://www.bpet.com.tr/tr/bayilerimiz/722/mehmet-ozkan,,,,,,,
,ASTEK AKARYAKIT   ( 02/055 ),,Ş.URFA YOLU 40.KM. KUYULU KÖYÜ ( PARSEL:1061) MERKEZ/ ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.496666,4147116830,+90 (414) 7116830,http://www.bpet.com.tr/tr/bayilerimiz/33/astek-akaryakit,,,,,,,
,DENİZ PETROL   ( 02/053 ),,ADIYAMAN GÖLBAŞI KARAYOLU 5.KM ÖZEL EVLER YANI (PARSEL NO.6) ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.727777,4162169782,+90 (416) 2232260,http://www.bpet.com.tr/tr/bayilerimiz/38/deniz-petrol,,,,,,,
,SİNKAR AKARYAKIT   ( 02/052 ),,ONUR MAH. KAHTA YOLU SİNCİK GİRİŞİ (ADA:155 PAFTA:3 C 41 A 23 PARSEL:2) SİNCİK ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,38.024444,4164212258,+90 (416) 4212258,http://www.bpet.com.tr/tr/bayilerimiz/37/sinkar-akaryakit,,,,,,,
,HARUN AKARYAKIT   ( 02/047 ),,ÖRENLİ MAH. MALATYA CAD. NO: 410 (ADA: 54 PARSEL: 6) ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.805677,4162251239,+90 (416) 2251239,http://www.bpet.com.tr/tr/bayilerimiz/32/harun-akaryakit,,,,,,,
,ŞAN AKARYAKIT   ( 02/049 ),,ÇAT MH.ÇEVRE YOLU YİBO KARŞISI BESNİ / ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.684788,4162653101,+90 (416) 2653101,http://www.bpet.com.tr/tr/bayilerimiz/34/san-akaryakit,,,,,,,
,YAKUP TAŞ   ( 02/046 ),,BÖRGENEK KÖYÜ MERKEZ/ ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.688248,4162653101,+90 (416) 2653101,http://www.bpet.com.tr/tr/bayilerimiz/31/yakup-tas,,,,,,,
,ADIYAMAN İPEK AKARYAKIT   ( 02/045 ),,YENİ MALATYA YOLU ÜZERİ YEŞİLYURT MAHALLESİ /ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.786111,4162252635,+90 (416) 2252635,http://www.bpet.com.tr/tr/bayilerimiz/30/adiyaman-ipek-akaryakit,,,,,,,
,CAN ÖZDOĞANLAR PETROL   ( 02/037 ),,HAYDARLI KÖYÜ GÖLBAŞI ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.594444,4167962134,+90 (416) 7962134,http://www.bpet.com.tr/tr/bayilerimiz/27/can-ozdoganlar-petrol,,,,,,,
,GÖZEBAŞI PETROL   ( 02/038 ),,GÖZEBAŞI KÖYÜ NO.44 (PARSEL NO:1285) / ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.780833,4162168225,+90 (416) 2168225,http://www.bpet.com.tr/tr/bayilerimiz/28/gozebasi-petrol,,,,,,,
,VEZİRHAN PETROL   ( 02/034 ),,CİRİTMEYDAN MAH. GAZİANTEP CAD. BESNİ/ ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.695277,4163180587,+90 (416) 3110704,http://www.bpet.com.tr/tr/bayilerimiz/26/vezirhan-petrol,,,,,,,
,HACI ÇOBAN   ( 02/027 ),,KONUKLU KÖYÜ İZNİK MEVKİİ BESNİ/ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.583888,4163183312,+90 (416) 3961215,http://www.bpet.com.tr/tr/bayilerimiz/24/haci-coban,,,,,,,
,ÇEVRE NAZAR PETROL   ( 02/026 ),,GÖLBAŞI PAZARCIK YOLU 13.KM ÇELİK KÖYÜ MEVKİİ GÖLBAŞI/ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.698333,4162166996,+90 (416) 2137219,http://www.bpet.com.tr/tr/bayilerimiz/23/cevre-nazar-petrol,,,,,,,
,KARATAŞ PETROL   ( 02/013 ),,BAHÇECİK MAH. ESKİ SAMSAT CAD. NO:100 ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.753055,4162134034,+90 (416) 2134034,http://www.bpet.com.tr/tr/bayilerimiz/20/karatas-petrol,,,,,,,
,HAKAN PETROL   ( 02/003 ),,İZOLU MEZRASI AKDURAK KÖYÜ BESNİ/ADIYAMAN,Türkiye,(02) Adıyaman,,,,,,,,,37.523055,4163180650,+90 (416) 3342172,http://www.bpet.com.tr/tr/bayilerimiz/16/hakan-petrol,,,,,,,
,AYDIN KOLLEKTİF ŞİRKETİ   ( 75/005 ),,ATATÜRK CADDESİ NO. 107 HANAK/ ARDAHAN,Türkiye,(75) Ardahan,,,,,,,,,41.237311,4786112199,+90 (478) 6112003,http://www.bpet.com.tr/tr/bayilerimiz/649/aydin-kollektif-sirketi,,,,,,,
,SAYINLAR PETROL   ( 75/004 ),,SERHAT MAH. KÜTÜKLÜK MEVKİİ NO:17 DAMAL / ARDAHAN,Türkiye,(75) Ardahan,,,,,,,,,41.334444,4786514620,+90 (478) 6514514,http://www.bpet.com.tr/tr/bayilerimiz/397/sayinlar-petrol,,,,,,,
,SAYINLAR PETROL   ( 75/003 ),,ATATÜRK CADDESİ NO: 15 HANAK/ ARDAHAN,Türkiye,(75) Ardahan,,,,,,,,,41.225833,4786112254,+90 (478) 6112254,http://www.bpet.com.tr/tr/bayilerimiz/396/sayinlar-petrol,,,,,,,
,İMAMOĞLU YALÇINLAR   ( 73/028 ),,ALİÇAVUŞ MAH. (ELKİ) DEVLET HASTANESİ YANI BEYTÜŞŞEBAP/ŞIRNAK,Türkiye,(73) Şırnak,,,,,,,,,37.569635,4863112590,+90 (486) 3112590,http://www.bpet.com.tr/tr/bayilerimiz/390/imamoglu-yalcinlar,,,,,,,
,ÖZ BALKAN PETROL   ( 73/033 ),,YENİ MAH. CİZRE CAD. NO : 71 / ŞIRNAK,Türkiye,(73) Şırnak,,,,,,,,,37.518421,4862161281,+90 (486) 2161281,http://www.bpet.com.tr/tr/bayilerimiz/392/oz-balkan-petrol,,,,,,,
,TAŞKIN PETROL   ( 73/010 ),,KONAK MAH. SİLOPİ YOLU ÜZERİ GÜZELLER MEVKİİ CİZRE / ŞIRNAK,Türkiye,(73) Şırnak,,,,,,,,,37.321666,4866231077,+90 (486) 6231077,http://www.bpet.com.tr/tr/bayilerimiz/388/taskin-petrol,,,,,,,
,VURAL-HAN PETROL   ( 71/009 ),,BAHÇELİEVLER MAH.703/1 SOK.NO:29/A (PAFTA:-ADA:2187 PARSEL:6) / KIRIKKALE,Türkiye,(71) Kırıkkale,,,,,,,,,39.837777,3182188313,+90 (318) 2187460,http://www.bpet.com.tr/tr/bayilerimiz/378/vural-han-petrol,,,,,,,
,SAMİ BAĞCACI   ( 70/010 ),,HABİB MAHALLESİ TURGUT ÖZAL CADDESİ NO:111 ( ADA:386  PAFTA:029C07D2A  PARSEL:39 ) GÜNEYYURT KASABASI ERMENEK/ KARAMAN,Türkiye,(70) Karaman,,,,,,,,,36.673977,3387368601,+90 (338) 7368262,http://www.bpet.com.tr/tr/bayilerimiz/670/sami-bagcaci,,,,,,,
,DUDU TORUN   ( 68/024 ),,DEMİRCİ KASABASI KALEALTI MAHALLESİ AKSARAY CADDESİ NO:58 (PAFTA:L32B11D  PARSEL:11370 ) GÜLAĞAÇ/ AKSARAY,Türkiye,(68) Aksaray,,,,,,,,,38.373055,3824362069,+90 (382) 4362069,http://www.bpet.com.tr/tr/bayilerimiz/366/dudu-torun,,,,,,,
,DEMİRKOLLAR PETROL   ( 67/001 ),,DAĞLAR KÖYÜ DEĞİRMENAĞZI MEVKİİ KDZ. EREĞLİ/ ZONGULDAK,Türkiye,(67) Zonguldak,,,,,,,,,41.240215,3723181900,+90 (372) 3181900,http://www.bpet.com.tr/tr/bayilerimiz/363/demirkollar-petrol,,,,,,,
,MEHMET CAN PETROL   ( 68/023 ),,BEBEK KÖYÜ HAN CİVARI (ADA:- PAFTA:L32A04C PARSEL:734) MERKEZ/ AKSARAY,Türkiye,(68) Aksaray,,,,,,,,,38.468333,,+90 () ,http://www.bpet.com.tr/tr/bayilerimiz/364/mehmet-can-petrol,,,,,,,
